algorithm,factor,level,mean,median,role,run_count,statistical_family
full,node_count,16,0.5066840277777778,0.46875,exploratory,360,synthetic_main_algorithms
traditional_ppo,node_count,16,0.30711805555555555,0.3125,exploratory,360,synthetic_main_algorithms
a2c_pointer,node_count,16,0.5061631944444445,0.5,exploratory,360,synthetic_main_algorithms
full,node_count,20,0.4742361111111112,0.5,exploratory,360,synthetic_main_algorithms
traditional_ppo,node_count,20,0.2659722222222222,0.275,exploratory,360,synthetic_main_algorithms
a2c_pointer,node_count,20,0.47319444444444453,0.5,exploratory,360,synthetic_main_algorithms
full,node_count,24,0.4764739229024943,0.46938775510204084,exploratory,360,synthetic_main_algorithms
traditional_ppo,node_count,24,0.23282312925170068,0.22448979591836735,exploratory,360,synthetic_main_algorithms
a2c_pointer,node_count,24,0.47568027210884356,0.46938775510204084,exploratory,360,synthetic_main_algorithms
aco,node_count,16,0.5778645833333333,0.5625,exploratory,360,synthetic_main_algorithms
ga,node_count,16,0.5238715277777778,0.5,exploratory,360,synthetic_main_algorithms
milp,node_count,16,0.5889756944444444,0.5625,exploratory,72,synthetic_main_algorithms
nearest_feasible,node_count,16,0.4921875,0.46875,exploratory,72,synthetic_main_algorithms
priority_resource_greedy,node_count,16,0.4891493055555556,0.484375,exploratory,72,synthetic_main_algorithms
sa,node_count,16,0.5749131944444444,0.5625,exploratory,360,synthetic_main_algorithms
aco,node_count,20,0.5422916666666666,0.575,exploratory,360,synthetic_main_algorithms
ga,node_count,20,0.47451388888888885,0.5,exploratory,360,synthetic_main_algorithms
milp,node_count,20,0.5621527777777777,0.6,exploratory,72,synthetic_main_algorithms
nearest_feasible,node_count,20,0.4395833333333333,0.425,exploratory,72,synthetic_main_algorithms
priority_resource_greedy,node_count,20,0.4378472222222222,0.425,exploratory,72,synthetic_main_algorithms
sa,node_count,20,0.5364583333333334,0.575,exploratory,360,synthetic_main_algorithms
aco,node_count,24,0.5373582766439908,0.5510204081632653,exploratory,360,synthetic_main_algorithms
ga,node_count,24,0.4624716553287982,0.46938775510204084,exploratory,360,synthetic_main_algorithms
milp,node_count,24,0.5620748299319728,0.5714285714285714,exploratory,72,synthetic_main_algorithms
